id,name_english,name_japanese,name_chinese,name_french,types,species,description,hp,attack,defense,special_attack,special_defense,speed,total_stats,height,weight,egg_groups,abilities,hidden_ability,gender_ratio,evolution_previous,evolution_next,sprite_url,thumbnail_url,hires_url,name_thai
1,Bulbasaur,フシギダネ,妙蛙种子,Bulbizarre,"Grass, Poison",Seed Pokémon,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",45,49,49,65,65,45,318,0.7 m,6.9 kg,"Monster, Grass",Overgrow,Chlorophyll,87.5:12.5,,2(Level 16),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/001.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/001.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/001.png,ฟุชิกิดาเนะ
2,Ivysaur,フシギソウ,妙蛙草,Herbizarre,"Grass, Poison",Seed Pokémon,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",60,62,63,80,80,60,405,1 m,13 kg,"Monster, Grass",Overgrow,Chlorophyll,87.5:12.5,"['1', 'Level 16']",3(Level 32),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/002.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/002.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/002.png,ฟุชิกิโซ
3,Venusaur,フシギバナ,妙蛙花,Florizarre,"Grass, Poison",Seed Pokémon,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,80,82,83,100,100,80,525,2 m,100 kg,"Monster, Grass",Overgrow,Chlorophyll,87.5:12.5,"['2', 'Level 32']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/003.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/003.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/003.png,ฟุชิกิบานา
4,Charmander,ヒトカゲ,小火龙,Salamèche,Fire,Lizard Pokémon,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",39,52,43,60,50,65,309,0.6 m,8.5 kg,"Monster, Dragon",Blaze,Solar Power,87.5:12.5,,5(Level 16),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/004.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/004.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/004.png,ฮิโตคาเงะ
5,Charmeleon,リザード,火恐龙,Reptincel,Fire,Flame Pokémon,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",58,64,58,80,65,80,405,1.1 m,19 kg,"Monster, Dragon",Blaze,Solar Power,87.5:12.5,"['4', 'Level 16']",6(Level 36),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/005.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/005.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/005.png,ลิซาร์ด
6,Charizard,リザードン,喷火龙,Dracaufeu,"Fire, Flying",Flame Pokémon,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",78,84,78,109,85,100,534,1.7 m,90.5 kg,"Monster, Dragon",Blaze,Solar Power,87.5:12.5,"['5', 'Level 36']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/006.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/006.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/006.png,ลิซาร์ดอน
7,Squirtle,ゼニガメ,杰尼龟,Carapuce,Water,Tiny Turtle Pokémon,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",44,48,65,50,64,43,314,0.5 m,9 kg,"Monster, Water 1",Torrent,Rain Dish,87.5:12.5,,8(Level 16),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/007.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/007.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/007.png,เซนิกาเมะ
8,Wartortle,カメール,卡咪龟,Carabaffe,Water,Turtle Pokémon,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",59,63,80,65,80,58,405,1 m,22.5 kg,"Monster, Water 1",Torrent,Rain Dish,87.5:12.5,"['7', 'Level 16']",9(Level 36),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/008.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/008.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/008.png,คาเมล
9,Blastoise,カメックス,水箭龟,Tortank,Water,Shellfish Pokémon,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,79,83,100,85,105,78,530,1.6 m,85.5 kg,"Monster, Water 1",Torrent,Rain Dish,87.5:12.5,"['8', 'Level 36']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/009.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/009.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/009.png,คาเม็กซ์
10,Caterpie,キャタピー,绿毛虫,Chenipan,Bug,Worm Pokémon,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.",45,30,35,20,20,45,195,0.3 m,2.9 kg,Bug,Shield Dust,Run Away,50:50,,11(Level 7),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/010.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/010.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/010.png,คาทาพี
11,Metapod,トランセル,铁甲蛹,Chrysacier,Bug,Cocoon Pokémon,"Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides.",50,20,55,25,25,30,205,0.7 m,9.9 kg,Bug,Shed Skin,,50:50,"['10', 'Level 7']",12(Level 10),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/011.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/011.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/011.png,ทรานเซล
12,Butterfree,バタフリー,巴大蝶,Papilusion,"Bug, Flying",Butterfly Pokémon,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.",60,45,50,90,80,70,395,1.1 m,32 kg,Bug,Compound Eyes,Tinted Lens,50:50,"['11', 'Level 10']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/012.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/012.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/012.png,บัตเตอร์ฟรี
13,Weedle,ビードル,独角虫,Aspicot,"Bug, Poison",Hairy Bug Pokémon,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,40,35,30,20,20,50,195,0.3 m,3.2 kg,Bug,Shield Dust,Run Away,50:50,,14(Level 7),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/013.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/013.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/013.png,บีเดิล
